"RID","Community","YrBorn","Sex","D_Mean","E_Mean","Inter_Mean","D_Freq","E_Freq","LDR","RLDR","SCR","KSCR","Mo_Travel","Ex_Stranger","Ex_Convo","Smartphone","Vehicle","Diversified"
1,"I",1960,"male",6.96551724137931,6.61538461538461,6.8,10.6209150326797,10.2941176470588,3,1,1,0,1,1,4,0,0,1
2,"M",1965,"fem",6.25,6.76,6.53125,8.90151515151515,11.5530303030303,3,0,1,0,1,3,4,0,0,2
3,"M",1955,"male",7.15625,6.5,7.64102564102564,11.4942528735632,9.33908045977011,1,0,0,0,1,3,4,1,0,2
4,"M",1960,"male",6.9,6.61538461538461,6.80555555555556,10.5769230769231,10.0961538461538,2,1,0,0,1,3,1,0,1,2
5,"I",1960,"fem",6.42857142857143,6.61538461538461,6.94117647058824,9.69387755102041,10.7142857142857,0,0,0,0,0,3,1,0,1,1
6,"I",1985,"fem",6.61111111111111,5.16666666666667,7.15,11.1111111111111,7.40740740740741,2,1,1,0,1,2,2,1,0,2
7,"M",1985,"male",6.61111111111111,4.92307692307692,6.14285714285714,11.5384615384615,8.65384615384615,0,0,0,0,1,1,4,1,0,1
8,"M",1960,"fem",6.9,6.61538461538461,6.80555555555556,10.5769230769231,10.0961538461538,0,0,1,0,0,3,1,1,1,2
9,"I",1970,"fem",5.43478260869565,6.26086956521739,7.27586206896552,8.54166666666667,11.875,1,0,0,0,4,1,2,1,1,1
10,"I",1955,"fem",7.16129032258065,6.55555555555556,7.81578947368421,10.632183908046,9.48275862068965,0,0,0,0,2,,,0,0,1
12,"M",1985,"fem",6.88235294117647,5.06666666666667,7.52631578947368,10.1190476190476,9.22619047619048,0,0,1,0,1,3,3,0,0,1
13,"I",1985,"fem",6.47058823529412,4.72727272727273,6.63157894736842,11.8055555555556,7.98611111111111,0,0,1,0,1,2,1,0,0,0
14,"M",1970,"male",6.26086956521739,6.76,6.16129032258065,8.53174603174603,12.1031746031746,2,1,1,0,0,1,4,0,0,1
15,"I",1970,"male",6.31818181818182,6.16666666666667,6.24137931034483,8.97435897435897,12.6068376068376,5,1,1,0,0,1,4,0,1,2
16,"M",1980,"fem",5.54545454545455,4.72,5.33333333333333,10.15625,13.5416666666667,1,1,1,0,1,1,4,1,1,2
17,"I",1965,"fem",6.25806451612903,5.36666666666667,6.13888888888889,11.8055555555556,12.3263888888889,1,1,1,0,3,1,1,1,0,2
18,"I",1965,"fem",6.25925925925926,6.61538461538461,6.91176470588235,9.375,10.9375,2,2,1,0,3,1,4,0,1,1
19,"M",1960,"fem",6.9,6.61538461538461,6.80555555555556,10.5769230769231,10.0961538461538,0,0,1,1,2,2,4,1,1,1
20,"I",1965,"fem",5.59375,4.96551724137931,5.85714285714286,12.1212121212121,12.8787878787879,0,0,1,0,1,2,4,1,1,1
21,"M",1950,"male",7.16129032258065,6.55555555555556,8.13157894736842,10.4519774011299,9.32203389830508,0,0,0,0,0,1,4,0,0,3
22,"M",1970,"male",6.31818181818182,6.16666666666667,6.6551724137931,8.75,12.2916666666667,3,2,0,0,0,1,4,1,1,2
24,"M",1975,"fem",6.52380952380952,5.58333333333333,6.22727272727273,10.7843137254902,11.7647058823529,2,0,1,0,1,2,3,1,1,1
25,"M",1990,"male",6.3125,5.72727272727273,6.22222222222222,11.5942028985507,10.5072463768116,2,1,1,0,2,1,4,0,0,2
26,"M",1950,"male",7.05882352941176,5.85714285714286,8.5,10.2150537634409,8.60215053763441,3,3,1,0,1,3,4,1,0,2
27,"M",1990,"fem",6.53333333333333,4.72727272727273,7,11.231884057971,8.33333333333333,2,2,1,0,0,2,4,1,0,2
28,"M",1990,"fem",6.2,4.72727272727273,6.29411764705882,11.9047619047619,9.12698412698413,1,0,1,1,0,2,3,1,1,2
29,"I",1935,"male",7.08571428571429,6.55555555555556,8.11904761904762,10.313315926893,8.61618798955614,2,0,1,1,1,1,4,1,1,1
30,"M",1980,"male",5.61538461538461,6.92857142857143,11.8888888888889,8.33333333333333,10.4166666666667,2,2,1,0,3,1,4,0,0,1
31,"I",1970,"fem",6.31818181818182,6.16666666666667,6.6551724137931,8.75,12.2916666666667,1,1,1,0,1,3,3,0,0,2
32,"I",1965,"male",6.25,6.76,6.53125,8.90151515151515,11.5530303030303,1,0,0,0,2,1,1,1,0,1
33,"I",1980,"fem",6.3,4.94117647058824,6.81818181818182,10.8333333333333,10,1,1,1,0,0,3,3,0,0,2
34,"M",1975,"male",6.31818181818182,5.68181818181818,6.22222222222222,9.72222222222222,11.8055555555556,2,2,1,0,3,1,4,1,0,2
35,"M",1960,"male",6.75,6.61538461538461,6.82857142857143,10.3333333333333,10.5,1,1,1,0,0,1,3,1,0,2
36,"M",1980,"male",6.04761904761905,4.88235294117647,7.04347826086957,11.0215053763441,8.60215053763441,4,0,1,0,3,3,4,1,0,2
37,"M",1965,"male",6.25925925925926,6.61538461538461,6.91176470588235,9.375,10.9375,1,1,1,0,0,1,4,1,0,2
38,"M",1955,"male",6.83870967741935,6.55555555555556,7.64864864864865,10.2678571428571,9.82142857142857,3,0,0,0,0,1,4,0,1,1
39,"I",1930,"male",7.08571428571429,6.55555555555556,8.11904761904762,10.313315926893,8.61618798955614,1,1,1,0,0,3,4,0,0,2
40,"I",1980,"fem",6.3,4.94117647058824,6.81818181818182,10.8333333333333,10,0,0,0,0,0,1,4,1,1,1
41,"I",1960,"male",7.03571428571429,6.92307692307692,6.71428571428571,10.2941176470588,11.437908496732,5,1,1,0,1,1,4,1,0,1
42,"M",1955,"fem",6.875,6.48148148148148,6.79487179487179,10.4545454545455,9.6969696969697,1,1,0,0,2,1,4,1,0,1
43,"M",1985,"fem",6.61111111111111,4.92307692307692,6.14285714285714,11.5384615384615,8.65384615384615,2,1,0,0,0,3,1,0,0,1
44,"I",1980,"male",5.68181818181818,5.75,5,11.3888888888889,12.5,8,4,1,0,5,3,4,1,0,2
45,"I",1980,"fem",6.3,4.94117647058824,6.81818181818182,10.8333333333333,10,2,1,1,0,1,3,4,1,0,2
46,"I",1950,"male",7.08333333333333,6.62068965517241,7.02272727272727,10.4497354497354,9.78835978835979,1,1,1,0,2,1,4,1,0,2
47,"I",1980,"male",6.23529411764706,6,7.45454545454545,9.11458333333333,14.0625,7,3,1,0,4,2,3,1,0,1
48,"M",1970,"male",6.5,6.72,7.51724137931035,7.55813953488372,11.8217054263566,0,0,0,0,2,2,4,0,0,1
49,"I",1985,"fem",7.05555555555556,5.5,5.6,15.625,9.375,0,0,0,0,2,3,4,0,0,2
50,"M",1985,"fem",6.61111111111111,4.92307692307692,6.14285714285714,11.5384615384615,8.65384615384615,0,0,1,1,0,3,1,1,0,1
53,"M",1975,"fem",6.31818181818182,5.95833333333333,6.21428571428571,9.21052631578947,12.280701754386,1,0,1,0,0,1,2,0,0,2
54,"M",1965,"male",6.22727272727273,7.85,9.36,8.90151515151515,10.2272727272727,6,0,1,0,3,1,4,0,0,2
55,"M",1980,"male",6.3,5,6.78260869565217,10.4838709677419,10.2150537634409,2,1,1,0,1,1,4,0,0,2
56,"M",1975,"fem",6.28571428571429,5.19047619047619,6.42307692307692,9.80392156862745,10.7843137254902,1,1,0,0,0,3,1,1,0,2
57,"M",1965,"fem",6.15384615384615,6.76,6.75757575757576,9.23913043478261,11.0507246376812,1,0,1,0,0,1,4,1,0,2
58,"M",1970,"fem",6.26086956521739,6.76,6.16129032258065,8.53174603174603,12.1031746031746,0,0,1,0,0,1,1,1,0,2
59,"I",1965,"male",5.26086956521739,7,6.96774193548387,7.40740740740741,12.4074074074074,2,1,1,0,3,1,3,1,0,2
60,"M",1980,"male",6.3,5.26315789473684,6.32,10.15625,10.9375,1,1,1,1,0,1,4,0,0,1
63,"I",1965,"fem",6.25,6.76,6.53125,8.90151515151515,11.5530303030303,3,2,1,0,0,1,4,0,1,3
64,"M",1985,"fem",6.61111111111111,4.92307692307692,6.14285714285714,11.5384615384615,8.65384615384615,1,0,1,0,0,1,3,0,1,1
65,"M",1980,"fem",6,5.31578947368421,5.80769230769231,10.15625,10.6770833333333,0,0,0,0,1,3,3,0,0,1
66,"I",1960,"fem",6.125,5.13793103448276,6.23076923076923,11.734693877551,10.2040816326531,1,0,0,0,2,1,4,0,0,2
67,"M",1975,"fem",4.45833333333333,5.53333333333333,5.67857142857143,9.02777777777778,17.1296296296296,2,0,1,0,1,3,1,0,1,2
68,"I",1980,"fem",6.3,5.2,6.38461538461539,9.84848484848485,10.8585858585859,3,0,1,0,1,3,3,1,0,1
69,"I",1975,"fem",6.28571428571429,5.19047619047619,6.42307692307692,9.80392156862745,10.7843137254902,0,0,1,1,0,1,3,1,1,3
70,"M",1985,"male",6.47058823529412,4.72727272727273,6.63157894736842,11.8055555555556,7.98611111111111,0,0,1,0,0,1,4,1,0,3
72,"I",1980,"fem",6.35,4.88235294117647,6.81818181818182,11.1111111111111,8.61111111111111,1,1,1,0,3,2,2,1,0,1
73,"M",1975,"fem",5.54545454545455,5.08,6.33333333333333,8.57142857142857,11.6666666666667,1,0,0,0,2,3,3,0,1,3
74,"I",1980,"fem",7.25,5.05555555555556,6.71428571428571,10.3448275862069,11.7816091954023,2,1,1,0,3,3,3,1,0,1
75,"M",1970,"fem",4.73076923076923,5.71875,5.0625,9.4017094017094,18.8034188034188,0,0,0,0,1,3,1,1,1,2
76,"M",1990,"fem",6.53333333333333,4.72727272727273,7,11.231884057971,8.33333333333333,2,0,1,0,0,3,1,0,0,1
77,"M",1975,"male",6.33333333333333,5.21052631578947,6.76923076923077,9.80392156862745,8.82352941176471,2,2,1,0,1,3,4,0,0,2
78,"I",1965,"fem",6.16666666666667,6.68,6.81818181818182,8.51851851851852,10.5555555555556,5,4,0,0,5,3,3,0,0,2
79,"M",1970,"fem",6.31818181818182,6.76,6.13333333333333,8.53658536585366,12.3983739837398,0,0,1,0,0,1,4,0,1,4
80,"M",1960,"male",6.75,6.61538461538461,6.82857142857143,10.3333333333333,10.5,0,0,0,0,0,1,4,1,0,1
81,"I",1965,"male",6.57142857142857,6.53846153846154,6.7741935483871,9.57446808510638,10.1063829787234,2,1,1,0,3,1,4,1,0,2
82,"I",1970,"male",6.31818181818182,6.16666666666667,6.6551724137931,8.75,12.2916666666667,2,0,1,0,2,1,4,1,1,1
83,"M",1970,"fem",6.31818181818182,6.16666666666667,6.6551724137931,8.75,12.2916666666667,1,1,1,1,0,1,4,1,0,1
